Radek Bartyzal,,,0
Pavel Kordík,Pavel Kordík,https://dblp.org/pid/00/3917,1.0
Ivan Povalyev,,,0
Mauro Brunato,Mauro Brunato,https://dblp.org/pid/16/3468,1.0
Oliver Gindele,,,0
Daniel Wolff,Daniel Wolff,https://dblp.org/pid/43/10570,1.0
Miro Kosecek,,,0
David Burke,David Burke,https://dblp.org/pid/25/1041,1.0
"David Burke
Recorded",,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Jeremy Stierwalt,,,0
Andrew Ng,Andrew Y. Ng,https://dblp.org/pid/n/AndrewYNg,0.95
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Adrian Holovaty,,,0
Russ Tront,Russell J. Tront,https://dblp.org/pid/39/3332,0.925
Deepak Agarwal,Deepak Agarwal,https://dblp.org/pid/11/5430,1.0
Xiao Hu,Xiao-bo Hu,https://dblp.org/pid/96/8352,0.9400000000000001
Kelompok,,,0
Mustafa Jarrar,Mustafa Jarrar,https://dblp.org/pid/j/MustafaJarrar,1.0
Muhamad Alif Fathi Md Noor,,,0
Mohib Ali Mowj,,,0
Akram M. Zeki,Akram M. Zeki,https://dblp.org/pid/74/7486,1.0
Liaqat Ali Rahimi,,,0
María de Maeztu,,,0
Jordi Bartolomé Guillen,,,0
Larry Pearson,,,0
Vineet Tyagi,,,0
Daniel D. Gutierrez,Daniel Gutierrez,https://dblp.org/pid/121/5351,0.968421052631579
Ajay Anand,Ajay Anand,https://dblp.org/pid/144/2852,1.0
Andrew Ng,Andrew Y. Ng,https://dblp.org/pid/n/AndrewYNg,0.95
Evan Chan,Evan Chan,https://dblp.org/pid/234/2797,1.0
Cassandra Summit,,,0
Daniel Pyrathon,,,0
Misa Inmaculada Concepcion,,,0
Concepcion - Alejandro Consolacion,,,0
Justin Pontino,,,0
Peter Kawinek,,,0
Mustafa Jarrar,Mustafa Jarrar,https://dblp.org/pid/j/MustafaJarrar,1.0
Thanh Th,Thanh Dinh,https://dblp.org/pid/62/11200,0.915
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Michael Ekstrand,Michael D. Ekstrand,https://dblp.org/pid/69/7949,0.968421052631579
Michael D Ekstrand,Michael D. Ekstrand,https://dblp.org/pid/69/7949,0.9894736842105263
Joseph Konstan,Joseph A. Konstan,https://dblp.org/pid/09/3004,0.9647058823529411
Joseph A Konstan,Joseph A. Konstan,https://dblp.org/pid/09/3004,0.9882352941176471
OLAP PRIDE,,,0
Vinod Vaikuntanathan,Vinod Vaikuntanathan,https://dblp.org/pid/v/VinodVaikuntanathan,1.0
Alexandre Hubert,,,0
Antonio Gómez,Antonio Gómez,https://dblp.org/pid/82/1348,1.0
Luis Vinces,,,0
Josías Piña,,,0
Stefan Novak,,,0
Joe Ross,Joel Ross,https://dblp.org/pid/03/7495,0.9740740740740741
